boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,metric,verbose,loss,iteration,boosting_int
gbdt,balanced,0.7125187075392453,0.022592570862044956,250,49,0.2035211643104735,0.6455131715928091,200000,0.983566228071919,auc,1,0.22898740527449726,413,1
gbdt,,0.620649129448606,0.017934544496484815,260,30,0.2092981310373776,0.8946886330215067,20000,0.8731487506937664,auc,1,0.2292587637945529,5,1
gbdt,,0.7024784577956141,0.013981621461178624,255,36,0.2351509602112803,0.8074421575590184,20000,0.9957409520899171,auc,1,0.2292777080540913,66,1
gbdt,balanced,0.6799089216811582,0.018139499534982364,245,43,0.6523468841932534,0.5727817375493998,180000,0.9225938204630164,auc,1,0.2297347144865498,406,1
gbdt,balanced,0.6876078536536474,0.027415313871704483,255,45,0.4557831840791652,0.6219900754322586,20000,0.7900350239636332,auc,1,0.2297369157166597,309,1
gbdt,balanced,0.7175633720571428,0.013742775161824336,250,78,0.22900534312914983,0.9092452840718128,60000,0.6943311158044493,auc,1,0.22976641926469954,213,1
gbdt,,0.6792630084350102,0.014216916399327406,260,47,0.9517686387497456,0.6506440914322448,20000,0.8966692742179408,auc,1,0.22977458500981365,156,1
gbdt,balanced,0.7018200124321667,0.016824068042648615,260,30,0.5825874500945208,0.6100065281593176,140000,0.8622269551143684,auc,1,0.22985282679772825,334,1
gbdt,,0.7408305357235242,0.014739336205855744,250,36,0.2535476073228797,0.7318273501598833,20000,0.9915882611528879,auc,1,0.2299011265857576,67,1
gbdt,,0.7414388049285232,0.015346178797926241,250,36,0.2465784585418745,0.6609853517421412,20000,0.9760595548210347,auc,1,0.2300155636388184,258,1
gbdt,balanced,0.6651853938319687,0.01825536390464476,260,81,0.7499552563005866,0.8589696543927967,20000,0.6667650351704436,auc,1,0.2301609872388084,225,1
gbdt,balanced,0.6008398891321262,0.0339783973172787,250,75,0.8542771462235726,0.9391477285190134,80000,0.5784824478252761,auc,1,0.23022037335464215,218,1
gbdt,balanced,0.6846946191648016,0.017036831938151736,260,30,0.7181215840918722,0.6212685829703132,140000,0.8550348641216572,auc,1,0.23031194082671824,402,1
gbdt,balanced,0.6873117609413679,0.01421710363119827,270,44,0.9254816224120235,0.49411669646050504,200000,0.9490463618591439,auc,1,0.23040374490580065,410,1
gbdt,balanced,0.6525342503549723,0.02665927302496566,245,49,0.875356731956763,0.5532690156482847,20000,0.7079475097434698,auc,1,0.2304788216544974,331,1
gbdt,balanced,0.7153407608894815,0.022657013794997058,280,34,0.2852475932848587,0.47545770509667945,180000,0.9557498464318226,auc,1,0.23048358771576796,422,1
gbdt,balanced,0.7280069061940251,0.023769786514060007,250,49,0.1397743152202639,0.6370565799609138,180000,0.9854925978098238,auc,1,0.23052017293393026,415,1
gbdt,,0.6892541451143711,0.026279271432811845,275,35,0.6982902986974893,0.8334533199737342,80000,0.855359099542871,auc,1,0.23053098508916106,125,1
gbdt,balanced,0.6569091571705533,0.015726221719245252,245,52,0.887792719500419,0.5349736851066234,220000,0.9249548979106405,auc,1,0.23056381907705106,409,1
gbdt,,0.690484897012751,0.010476216206545663,250,40,0.30530092944307585,0.7899818244716102,60000,0.9104577676046082,auc,1,0.23063669739903855,267,1
gbdt,balanced,0.7183755638327043,0.016568031787700166,280,52,0.4334486168749103,0.5412382694720953,240000,0.8704026847974474,auc,1,0.230707279175298,455,1
gbdt,,0.7454154740325,0.023043040140294326,250,50,0.19149973572144435,0.8161974487485981,40000,0.9322150522542674,auc,1,0.2307255539827855,69,1
gbdt,,0.7564248528647897,0.012120783616653424,250,67,0.3984971977145705,0.7622212668117252,20000,0.9138625360867221,auc,1,0.23072811236612498,161,1
gbdt,balanced,0.622263734721147,0.027657699268300296,245,47,0.14221081297647797,0.9189394841103818,300000,0.7258862334217876,auc,1,0.2307430629012437,499,1
gbdt,balanced,0.6857882547932758,0.03132201444611623,250,107,0.4418705915587893,0.8651501916853107,280000,0.6445566422156469,auc,1,0.23085769899574335,362,1
gbdt,,0.6771905774828696,0.015065042505245733,265,30,0.2548727544042211,0.9986772701036614,60000,0.9673696755460313,auc,1,0.2308655075876278,28,1
gbdt,balanced,0.6819884928984445,0.02117392056985814,245,63,0.22312454689591413,0.6405341166325957,160000,0.9807828616390182,auc,1,0.2308976239049778,427,1
gbdt,balanced,0.6984443372338295,0.013849779698639606,255,30,0.6893363090133281,0.5982583259481945,180000,0.862050394862676,auc,1,0.2309462836496372,403,1
gbdt,,0.6466614708207334,0.015269339768311989,280,57,0.09813204148445502,0.9462744046838922,20000,0.82360200516111,auc,1,0.23099729012089495,276,1
gbdt,,0.6960972286307282,0.010857361701546787,255,38,0.26910102396823393,0.6641024728526864,20000,0.9941994071399407,auc,1,0.23101490080279294,279,1
gbdt,balanced,0.6001916896275801,0.0344627361807837,280,77,0.4678832996168538,0.5789326307287311,300000,0.7864690430452067,auc,1,0.2311999499088391,314,1
gbdt,balanced,0.8896256024974138,0.01338432601976849,255,91,0.45229483159925443,0.6512224412276804,220000,0.8879414402662681,auc,1,0.2312011312618296,485,1
gbdt,balanced,0.7058079750294955,0.022197098253328086,270,61,0.25934714389973373,0.8058558690259341,160000,0.6949810256364273,auc,1,0.2312190276102435,440,1
gbdt,balanced,0.6348828929489144,0.017384865444435255,245,110,0.2928028085051125,0.9847786927191983,260000,0.7006654067870619,auc,1,0.2312395322425265,250,1
dart,,0.6607741751673232,0.019115947288956894,270,129,0.8392631673755987,0.5979413142671732,40000,0.6639469871143248,auc,1,0.2312807349417303,361,3
gbdt,,0.7021656686398733,0.010043806158244944,245,48,0.47000734188961457,0.3183355956106856,20000,0.9137806164487837,auc,1,0.2312810337842286,188,1
gbdt,,0.6503830459967073,0.02609141791001016,280,41,0.8662418125125053,0.8282454933285114,60000,0.856477904947081,auc,1,0.2313038974780721,147,1
gbdt,,0.6082193475605033,0.016261603134289662,260,55,0.21760443103150878,0.6759321426751943,20000,0.9610399344903416,auc,1,0.2313304981048451,159,1
gbdt,balanced,0.7268947311669945,0.022068683286888997,240,50,0.21156561719173145,0.5544735894702837,180000,0.9603732811040195,auc,1,0.2313411689686884,420,1
gbdt,,0.7025783014920511,0.014026637137003419,265,36,0.23915446735899976,0.8217477910039765,20000,0.9853012663786448,auc,1,0.2314409840451745,26,1
gbdt,,0.7256755960256598,0.013598503717434929,245,48,0.11599703466446072,0.9422183191768267,40000,0.6674098209953647,auc,1,0.2314412806449525,380,1
gbdt,,0.7383500314519811,0.02231459829077343,275,45,0.22391279977530779,0.8373262424526722,240000,0.8626421706512872,auc,1,0.23146293046635916,84,1
gbdt,balanced,0.6990199439196041,0.010300068881927528,260,126,0.053099429747876375,0.844046147963125,180000,0.9978279399642601,auc,1,0.23157035929839176,494,1
gbdt,balanced,0.714987874573129,0.020175181865498194,265,116,0.17682267244205407,0.9439093748561498,60000,0.8129198497424313,auc,1,0.2316238246322696,237,1
gbdt,balanced,0.7411863319669816,0.02090924267230292,270,57,0.24696931079234483,0.3640411428849841,200000,0.9825160608293422,auc,1,0.23163549070330705,418,1
gbdt,balanced,0.6390885483297083,0.010776404004408,270,78,0.04801310064311584,0.9996953018953931,40000,0.6100151846377314,auc,1,0.2316562986635292,214,1
gbdt,balanced,0.733816516918388,0.012878608318637496,280,35,0.7773056983782827,0.5058859219902164,140000,0.8822798797623004,auc,1,0.2316970472118444,405,1
gbdt,,0.7392620553562237,0.02079715080422393,275,39,0.15768624575948176,0.8271677052501291,40000,0.9870849471472666,auc,1,0.2317119369131712,263,1
gbdt,balanced,0.946635834774325,0.050665621855305785,250,50,0.5068614694637489,0.3956862468803643,60000,0.8413325805131348,auc,1,0.2317241028305264,320,1
gbdt,,0.7227245751302876,0.02845810050066815,260,43,0.35205799037828994,0.7801078289068916,40000,0.6592768793684389,auc,1,0.2317295358207868,286,1
gbdt,,0.753842389452067,0.012282662104898402,280,53,0.30686551105339516,0.37372844189734156,20000,0.5932809846285347,auc,1,0.2317590755326938,40,1
gbdt,balanced,0.6872957496553627,0.026362003614193552,260,51,0.5245640779582325,0.6184323802092425,220000,0.754941366706975,auc,1,0.23183423946714765,317,1
gbdt,,0.7169054336280878,0.011093372022508888,280,50,0.3681044599338401,0.025350758268802898,20000,0.9631288737250221,auc,1,0.2318987560863228,394,1
gbdt,balanced,0.6450317049774184,0.04789143124219996,280,61,0.016424225285807004,0.9998373656259709,40000,0.651906637491612,auc,1,0.23190236714656776,235,1
dart,,0.6693131555727373,0.014193785294200938,280,41,0.36073648661745567,0.6707092107407028,220000,0.653990766836158,auc,1,0.2320202358422385,500,3
gbdt,balanced,0.6730438772613442,0.02078041810733642,280,97,0.9380916901567217,0.9349776248997683,40000,0.7683663080923151,auc,1,0.2320306785092773,333,1
gbdt,,0.6525973100811799,0.01199347508376564,270,47,0.28637969348777326,0.9074566930885456,20000,0.6470131062351122,auc,1,0.23204621635681044,283,1
gbdt,balanced,0.7700793553858873,0.012540118437003587,265,37,0.5659344817853378,0.8568734274200835,40000,0.5889985163836641,auc,1,0.232048580184152,383,1
gbdt,,0.6984446330204591,0.023173440800116372,270,35,0.6724421973579047,0.5946170134819252,80000,0.9071769321936657,auc,1,0.2320587321385539,396,1
gbdt,balanced,0.7040327945894642,0.025328756719042667,240,30,0.7324216175015839,0.5136731180655476,220000,0.6646483231544749,auc,1,0.2321103643288137,458,1
gbdt,,0.7091649328771961,0.024033161823228025,245,38,0.7749657267380748,0.7706897330413203,40000,0.8200807700505706,auc,1,0.2321272536957509,149,1
gbdt,balanced,0.7526138500659965,0.04176765701155489,250,42,0.5649587287577404,0.9607379096051063,140000,0.928158320848889,auc,1,0.23215226283203336,456,1
gbdt,,0.7561731636160318,0.011270166767536506,260,34,0.18996897738375682,0.6049592534340431,40000,0.9183322913441415,auc,1,0.23217529164616926,261,1
gbdt,balanced,0.6200956382841555,0.014720258727666344,265,47,0.5384781221348806,0.6974150971097162,160000,0.9349687334483968,auc,1,0.2321962650070236,144,1
gbdt,balanced,0.6514129779644071,0.011459061444282355,275,72,0.8161227294585489,0.25616816256652414,180000,0.7037927027556321,auc,1,0.2322331527121049,374,1
gbdt,balanced,0.7159345825920161,0.02134517908611479,265,66,0.13613807651651466,0.6492638051943015,20000,0.886937068684573,auc,1,0.23226432876891126,354,1
gbdt,,0.8327169484711936,0.02103043102225224,250,58,0.3014521144542589,0.6077272437575229,20000,0.7344523600704599,auc,1,0.23226873571457166,297,1
gbdt,balanced,0.6301831242694536,0.01372684010602639,245,50,0.18719261362516068,0.5893407359772614,60000,0.7759284938479062,auc,1,0.2322829259674618,289,1
gbdt,,0.6281704201727462,0.010242774499691548,245,47,0.24862621587556788,0.8833655063071846,280000,0.7950270278686,auc,1,0.2323874193587816,24,1
gbdt,balanced,0.6831672279040507,0.010699485375757786,255,104,0.29399779710962237,0.38424504620589867,180000,0.6464837667653991,auc,1,0.2323948225789467,471,1
gbdt,,0.6680638041686463,0.012948144948737222,240,30,0.10415934766947121,0.8926255142844293,40000,0.8679964248983806,auc,1,0.2324808544563023,175,1
gbdt,,0.7332916331490252,0.0118273436976038,240,45,0.20236500054168513,0.7025900673054438,20000,0.7111732961055032,auc,1,0.2325326725120185,272,1
gbdt,balanced,0.6261185087550232,0.024051219891614035,240,30,0.37910009880135526,0.8994052911210686,20000,0.8941249188433604,auc,1,0.2325941886515879,359,1
gbdt,,0.841015768029039,0.014809710675814968,280,69,0.3994095193848029,0.6392309648218091,60000,0.8125097912585315,auc,1,0.2327912822877453,72,1
gbdt,,0.8067372413272748,0.015868525806575995,255,41,0.5711071761489931,0.6603041824883078,220000,0.9334028285252951,auc,1,0.2329131231216516,173,1
gbdt,balanced,0.9301546961731896,0.033094253149057985,255,93,0.7924315472236754,0.6987727247752127,20000,0.6137473703769115,auc,1,0.23292064408463986,343,1
gbdt,,0.6894911551154432,0.02128098153765413,275,35,0.681583022936449,0.8387250391731491,80000,0.8048107442974242,auc,1,0.2329253658521816,146,1
gbdt,,0.7432399791923593,0.018614937576936923,270,41,0.6584909268303971,0.7364856875753937,60000,0.8711167845521866,auc,1,0.23297117790256536,153,1
gbdt,,0.9036910199672912,0.010023929274435602,260,59,0.45420718778805946,0.9019556090128023,160000,0.837013170741544,auc,1,0.23299710571320695,391,1
gbdt,,0.7559169075529082,0.020563819481630125,275,37,0.8073835345660083,0.9830975354482985,240000,0.9045676873189646,auc,1,0.2330472226654709,182,1
gbdt,balanced,0.6994164150910124,0.02675446601099509,280,48,0.33844511489475737,0.7328908661975887,140000,0.9385029661850269,auc,1,0.2331183351254539,465,1
gbdt,balanced,0.6516954932832175,0.023987117278392513,230,59,0.44734588564598476,0.566783940747529,60000,0.7000346623018521,auc,1,0.2331322195273444,323,1
gbdt,balanced,0.8139180633070621,0.01179854619756923,245,67,0.38718517443452793,0.4314334481819825,40000,0.6544076947246081,auc,1,0.2331476741138815,395,1
dart,balanced,0.7127560064131142,0.020564431449244004,260,43,0.18967997485858665,0.5527972318320279,180000,0.7119328100183246,auc,1,0.2331990924046796,445,3
gbdt,balanced,0.7070609355123925,0.024877110539680024,245,57,0.20067702331135212,0.950604022043887,140000,0.626396918662785,auc,1,0.23320978401368694,479,1
gbdt,balanced,0.6977144431754392,0.01661937726910843,230,36,0.5495267915996243,0.884201543789267,160000,0.712416040596899,auc,1,0.2333157559184551,434,1
gbdt,balanced,0.7609538911556822,0.024582662740998573,255,53,0.09784489047005664,0.7111549052304162,200000,0.9961519105573743,auc,1,0.23332011184222545,424,1
gbdt,balanced,0.819651712456752,0.015916338832915856,255,96,0.11627415956177983,0.7639659225171908,20000,0.8409569978471566,auc,1,0.2333978422898804,98,1
gbdt,,0.7602837143656926,0.01841193508682479,265,49,0.3252892155643198,0.749056775721338,40000,0.9519642474943069,auc,1,0.23342891293882614,274,1
gbdt,,0.6775825929300721,0.05270948858262177,270,58,0.1023275189163897,0.776880283446598,300000,0.8541508508111914,auc,1,0.23347215903668886,61,1
gbdt,,0.7346619504920512,0.010626215049198652,270,65,0.31329997282748634,0.8765821557447286,100000,0.7336659776237202,auc,1,0.2335006530801915,245,1
gbdt,,0.6905588626798999,0.014462676025125965,235,56,0.24692550210270922,0.6144590457834195,60000,0.774788216598413,auc,1,0.2335243154628509,384,1
gbdt,balanced,0.8686342416555606,0.013319227338172052,240,78,0.43159873247646685,0.9721992454586756,60000,0.7919297635211608,auc,1,0.23354374807476466,347,1
gbdt,,0.6220082377595529,0.03565154266775181,225,70,0.41007410794253185,0.45276116373350317,280000,0.7661806376140439,auc,1,0.2336714188604489,15,1
gbdt,balanced,0.6804510159972444,0.04134073248804081,275,34,0.28899039848131364,0.8829458246880586,120000,0.8771086676947335,auc,1,0.23382365836819,346,1
gbdt,balanced,0.6767985247438608,0.02227432791145425,210,88,0.08079029926354553,0.6149018066354242,160000,0.893100288613807,auc,1,0.2339781641449331,453,1
gbdt,,0.6404710862469207,0.014427711141867656,300,89,0.14891305729037013,0.9838854074606104,80000,0.5459816018879133,auc,1,0.2341061531165797,363,1
gbdt,balanced,0.6853298475068174,0.010004445395425405,240,109,0.11972560126047288,0.9717313255724824,120000,0.6947693809522868,auc,1,0.2341099037861719,217,1
goss,balanced,0.8078087421928426,0.01349321056740993,270,101,0.4931692810614289,0.8888431246501212,140000,1.0,auc,1,0.2341381659884493,108,2
gbdt,,0.6385383355583127,0.033456999962889054,235,31,0.07673661450906083,0.657285113984436,200000,0.9997136694919405,auc,1,0.2341682834812089,86,1
gbdt,,0.6509299629784749,0.10885242004543974,265,62,0.2429185715028856,0.49172754519787987,20000,0.8895822285191495,auc,1,0.2341993218910484,199,1
gbdt,,0.7060372959647947,0.02561408416317966,285,84,0.41588642148824095,0.19403399697022816,20000,0.7631347273529762,auc,1,0.2342050820381528,23,1
gbdt,,0.7055344866460452,0.031947000080049144,285,45,0.2537753756524354,0.922149707814416,40000,0.9389144379766862,auc,1,0.2342759923729563,290,1
gbdt,balanced,0.7936987098448177,0.02350189953826546,270,30,0.189851798982723,0.8177902362816521,220000,0.7393761401967245,auc,1,0.23434377130934825,473,1
gbdt,balanced,0.6363052428226562,0.10567595169677034,250,54,0.057743254370110214,0.6540964441161783,180000,0.988820980669767,auc,1,0.2344417050237275,447,1
dart,balanced,0.6011316484557969,0.015690840351746387,245,72,0.1247832097148458,0.07645679803119715,140000,0.6246320612340183,auc,1,0.23453453430638996,51,3
gbdt,balanced,0.8196881775024338,0.012242937098356173,275,74,0.1379542226983932,0.8976465738060174,20000,0.8515213299439898,auc,1,0.2345576601181847,295,1
gbdt,,0.7125137371308633,0.017345329704956565,215,76,0.37723903248043084,0.8691939157134398,100000,0.9433141957302026,auc,1,0.2346084773599053,178,1
gbdt,balanced,0.6434386519950926,0.013565531799342728,290,32,0.31342182361475046,0.5861029976345359,180000,0.8803259640802524,auc,1,0.2346316351304664,462,1
gbdt,,0.7303385019712622,0.012504337455341267,235,46,0.2719128931982807,0.8519387371699978,20000,0.8460324515943887,auc,1,0.2346452506862444,262,1
gbdt,,0.6709310186533642,0.020049520406844167,300,54,0.0743210090770515,0.9624214418886974,280000,0.9677570321913416,auc,1,0.2346493500988648,128,1
gbdt,balanced,0.6272875178535633,0.01262967281423032,285,75,0.0018655360683469957,0.6936084857322357,240000,0.8286487602356479,auc,1,0.23474874802934956,480,1
gbdt,,0.683009891565949,0.012874693917798686,195,30,0.05914322068077135,0.7988823797883682,40000,0.8713372450518315,auc,1,0.23478424328537906,275,1
gbdt,balanced,0.6178258324029176,0.027452655939262036,210,93,0.7915790208000529,0.9091950254546236,80000,0.6897084369174409,auc,1,0.2347854689320984,223,1
gbdt,balanced,0.7158392710714122,0.019574889538885684,235,63,0.34184135882051603,0.8074039577609838,40000,0.8654323849758897,auc,1,0.23478922268543126,302,1
gbdt,,0.6571240444341755,0.015422299326098524,230,46,0.2223036299870187,0.8541404859733053,40000,0.8805259496873902,auc,1,0.23481115480927284,185,1
gbdt,,0.6756124973306472,0.016334249430062668,210,55,0.285125738717487,0.8658496564382245,40000,0.8980570248329363,auc,1,0.2348896718911213,269,1
gbdt,,0.7447573681443436,0.0500530698749194,215,79,0.5548037821958247,0.32162105305567756,200000,0.8326728633895781,auc,1,0.2349066890931234,49,1
dart,,0.6593144425154103,0.022543307321525336,155,60,0.41721718390757273,0.9022289243370052,40000,0.9402579187064932,auc,1,0.23502100307690035,130,3
gbdt,balanced,0.6116824605658403,0.02856937097655093,210,124,0.26509637364212507,0.624797215636631,120000,0.8774366436582238,auc,1,0.23502469487508104,129,1
dart,,0.6839376243156717,0.011834959758580645,220,47,0.5721447362308072,0.9771906310356914,40000,0.6801996785111456,auc,1,0.2350535160754276,93,3
gbdt,,0.7762762716094291,0.013340717358767934,235,30,0.2753453971551918,0.619378874832603,40000,0.9461047307733845,auc,1,0.2350869012118653,160,1
gbdt,balanced,0.6703636000196207,0.018713742402603126,215,42,0.9417155617827515,0.4571983291791478,180000,0.9443624056796487,auc,1,0.235096524725264,407,1
gbdt,balanced,0.719928767187856,0.01972104563498094,235,32,0.5798825063665547,0.5491498964078937,200000,0.8973851236355616,auc,1,0.23512544404462976,404,1
dart,,0.7891102797308318,0.021199108931523124,255,35,0.06184687718911633,0.04936168900610133,60000,0.9636715966183466,auc,1,0.2351448525472988,197,3
dart,,0.6566553479648572,0.015203221032940974,210,46,0.1766498827022892,0.5779295535963415,60000,0.5708086546374915,auc,1,0.2351590301848865,163,3
gbdt,,0.7172237491136002,0.024612710329566703,300,68,0.21931311116606092,0.8832611293943571,40000,0.683547898229172,auc,1,0.2351651469245407,278,1
gbdt,,0.6542206226896501,0.012016862866710862,210,34,0.12745578002173075,0.5422280961150303,180000,0.8954700153728846,auc,1,0.23520771095505025,79,1
gbdt,,0.667599022185287,0.013901547600256439,220,35,0.14607170326134594,0.5431844263685668,60000,0.9802120135825458,auc,1,0.2352116603857413,273,1
gbdt,,0.6728084014314779,0.014442770510724222,225,39,0.15601311066845858,0.7136475311530573,20000,0.8955952159779367,auc,1,0.2352415508030564,291,1
gbdt,,0.6549567015760831,0.012608541278494074,230,140,0.03613774933080344,0.5896857905520517,40000,0.8369412721341264,auc,1,0.2352607896999924,244,1
gbdt,,0.7652709303529944,0.01472386667246484,285,51,0.4029651957231797,0.9168184421499732,20000,0.9682102944611217,auc,1,0.23526891115137785,268,1
gbdt,,0.747050762204723,0.01571181712888364,285,68,0.1991534503458922,0.23237667973252124,40000,0.9178281682571375,auc,1,0.2353183589319313,366,1
gbdt,,0.7233151365298958,0.019740791825170478,230,33,0.12462672425396684,0.7252311059826702,40000,0.9317720379223157,auc,1,0.23534088145192825,266,1
gbdt,balanced,0.6907211827434325,0.012112649148718051,190,46,0.8518231708141485,0.4667999571171288,200000,0.9339411596656073,auc,1,0.2354203348695595,412,1
gbdt,,0.6141955028280753,0.02758528656165108,295,40,0.2562292345595543,0.91754616138909,60000,0.9996054468252263,auc,1,0.23542213633475104,187,1
gbdt,balanced,0.7117222401832523,0.015174911515286403,200,32,0.627752748783832,0.4825763015192587,40000,0.798801469380918,auc,1,0.2354473445124724,376,1
gbdt,,0.9519357151915142,0.021964740123746516,265,144,0.275805543524451,0.7900940149155815,80000,0.9407178875715231,auc,1,0.23544738263871975,34,1
gbdt,,0.6948721686828584,0.042701727897053,255,62,0.23724092573803213,0.5964208785883338,180000,0.8397211970456884,auc,1,0.2354607324321261,138,1
gbdt,balanced,0.7023362956270982,0.01989395897238288,230,36,0.7048260721998448,0.6610597777277354,160000,0.9418121052729662,auc,1,0.23547094241691924,423,1
gbdt,balanced,0.6655147244542265,0.14336083793187038,275,30,0.6783084309892238,0.6301816530097862,200000,0.67864427492079,auc,1,0.2355509043714098,444,1
dart,,0.687906090022615,0.02570159195787432,205,124,0.41782202790995626,0.8702065650241159,80000,0.8769321955170123,auc,1,0.23557398757151604,288,3
gbdt,,0.7017508547200112,0.016693240886915164,290,48,0.3556271147280099,0.6810158657599162,20000,0.9576668833299574,auc,1,0.2356432786621634,260,1
gbdt,,0.9157847649887892,0.07626251018579855,245,60,0.7327969802141437,0.7363161344360872,180000,0.8799683382218431,auc,1,0.2356549032428729,46,1
gbdt,balanced,0.7950129463344321,0.020182088427435445,235,41,0.032563904898836066,0.6322103494956146,40000,0.807223253212941,auc,1,0.2356773596026169,282,1
dart,balanced,0.6224332346325254,0.02537310124575343,240,66,0.638390712500283,0.5166089870823499,80000,0.6109276083419425,auc,1,0.23569748353310535,313,3
gbdt,balanced,0.605999553285313,0.021557953645964526,240,73,0.6818988233989434,0.6951971740047271,160000,0.929768378544854,auc,1,0.23573080082724984,94,1
gbdt,,0.7699070840536028,0.022092113587716053,300,59,0.258056987331386,0.6220807232518457,20000,0.7850234369326397,auc,1,0.2357576733838761,248,1
gbdt,balanced,0.6366145901948783,0.015562537268964245,200,38,0.28848063275824665,0.20223595513478526,200000,0.9994883385105067,auc,1,0.2358051910231527,497,1
gbdt,balanced,0.6831489458644292,0.016179812819816227,205,38,0.34857861009290536,0.5918002049480257,200000,0.9994458901580796,auc,1,0.2358198800010003,443,1
gbdt,,0.6225283427376325,0.02990979876259572,295,82,0.32342908325282266,0.6882075146466489,240000,0.848063868420385,auc,1,0.2358348089499347,400,1
gbdt,,0.7483111405063937,0.011310823605160503,295,42,0.37901864117786493,0.5133063527282066,20000,0.9439768671570421,auc,1,0.2358971711557893,271,1
gbdt,,0.7947248488406802,0.019341269112714006,285,43,0.33254481439620187,0.9745197702936972,100000,0.9943530414811825,auc,1,0.2359115629731789,140,1
dart,balanced,0.7968862570154476,0.014973751570791335,255,33,0.0876345836560703,0.7830072100872206,260000,0.8868625167049253,auc,1,0.2359353644045055,438,3
gbdt,balanced,0.6769694430867872,0.02166312865142526,225,37,0.6398629760565173,0.5766109339402685,160000,0.9166317905240855,auc,1,0.2359372962278228,408,1
gbdt,,0.666881300313724,0.011357824752284688,205,52,0.10519755471556186,0.843860612979817,40000,0.8368418015685299,auc,1,0.235939320563358,300,1
dart,balanced,0.6538376980369827,0.011416874165787003,240,99,0.2744365668150435,0.5269897749756288,220000,0.9034979968257553,auc,1,0.23595752080039104,474,3
gbdt,balanced,0.6386150196838369,0.01324709006206011,220,96,0.8634432796840104,0.8660915097084849,140000,0.8798796331422443,auc,1,0.2359662831091416,392,1
gbdt,,0.6945561652973413,0.016543247143953322,200,117,0.16432353946249273,0.6263696621096803,80000,0.7569177301622482,auc,1,0.2360278670910043,351,1
gbdt,balanced,0.7287490543356199,0.09679825574172796,265,61,0.23867804513456214,0.46839724877619326,20000,0.9889026485399532,auc,1,0.2360372994124857,177,1
gbdt,balanced,0.763579189017857,0.02876820902598577,225,41,0.2303319325306796,0.5644860490707293,220000,0.9948586330754287,auc,1,0.23603751947942864,416,1
gbdt,balanced,0.6348737647253728,0.03280545306363263,290,63,0.7063458266515673,0.5301086061074378,40000,0.7437559758735698,auc,1,0.23609351684468086,318,1
gbdt,balanced,0.780089716872258,0.01874479127623862,290,47,0.3082464847720324,0.6948140437102197,160000,0.9425908315297764,auc,1,0.23615852265725146,442,1
